Data;Hora (Local);Temp. Med. (C);Temp. Max. (C);Temp. Min. (C);Umi. Med. (%);Umi. Max. (%);Umi. Min. (%);Pto Orvalho Med. (C);Pto Orvalho Max. (C);Pto Orvalho Min. (C);Pressao Tend. (hPa);Pressao Max. (hPa);Pressao Min. (hPa);Vel. Vento (m/s);Dir. Vento (graus);Raj. Vento (m/s);Radiacao (KJ/mÂ²);Chuva (mm)
08/12/2024;000;20,2;20,4;20,0;90,7;91,0;90,0;18,7;18,8;18,5;-0,3;1.013,2;1.012,9;3,9;137,0;9,7;0,0;0,8
08/12/2024;100;19,9;20,0;19,7;91,5;92,0;91,0;18,5;18,6;18,4;-0,7;1.012,9;1.012,2;5,2;124,0;11,3;0,0;0,8
08/12/2024;200;19,7;20,0;19,6;91,8;92,0;90,0;18,3;18,4;18,3;-0,7;1.012,2;1.011,5;7,4;118,0;14,5;0,0;0,5
08/12/2024;300;20,2;20,5;20,0;88,7;90,0;87,0;18,3;18,4;18,2;0,3;1.011,9;1.011,2;6,2;127,0;12,9;0,0;0,0
08/12/2024;400;20,5;20,5;20,5;85,7;87,0;85,0;18,0;18,3;17,9;0,0;1.011,9;1.011,5;7,7;171,0;14,5;0,0;0,0
08/12/2024;500;20,6;20,8;20,5;84,7;85,0;84,0;17,9;17,9;17,8;1,4;1.013,2;1.011,9;7,0;143,0;12,9;0,0;0,0
08/12/2024;600;21,1;21,4;20,8;83,5;84,0;83,0;18,2;18,4;17,9;0,7;1.013,9;1.013,2;6,9;149,0;12,9;0,0;0,0
08/12/2024;700;21,4;21,8;21,2;82,7;83,0;82,0;18,3;18,6;18,2;0,7;1.014,6;1.013,9;8,8;129,0;17,7;0,0;0,0
08/12/2024;800;21,8;22,4;21,6;79,8;82,0;79,0;18,2;18,9;17,8;0,3;1.014,9;1.014,6;9,1;140,0;22,5;0,0;0,0
08/12/2024;900;21,7;21,9;21,4;80,7;82,0;80,0;18,2;18,4;18,0;0,7;1.015,6;1.014,9;8,7;138,0;17,7;0,0;0,0
08/12/2024;1000;21,5;21,7;21,2;82,7;84,0;82,0;18,4;18,6;18,3;-0,3;1.015,6;1.015,2;9,3;162,0;17,7;0,0;0,0
08/12/2024;1100;20,7;21,3;20,1;84,6;85,0;84,0;18,0;18,4;17,5;0,7;1.015,9;1.015,2;8,9;188,0;16,1;0,0;0,0
08/12/2024;1200;19,6;20,1;19,3;86,8;87,0;85,0;17,3;17,6;17,1;0,3;1.016,3;1.015,9;10,6;192,0;30,6;0,0;0,0
08/12/2024;1300;20,4;20,6;19,8;83,9;87,0;83,0;17,6;17,7;17,5;-0,3;1.016,3;1.015,9;9,1;198,0;22,5;0,0;0,0
08/12/2024;1400;20,4;20,7;20,1;83,8;85,0;83,0;17,6;17,9;17,3;-0,3;1.015,9;1.015,6;9,2;209,0;19,3;0,0;0,0
08/12/2024;1500;20,5;20,7;20,3;82,9;84,0;82,0;17,5;17,7;17,3;0,0;1.015,6;1.015,6;8,4;199,0;17,7;0,0;0,0
08/12/2024;1600;20,5;20,6;20,2;82,9;84,0;82,0;17,5;17,6;17,3;0,0;1.015,6;1.015,2;6,8;165,0;16,1;0,0;0,0
08/12/2024;1700;19,8;20,2;19,7;83,9;84,0;83,0;17,0;17,4;16,7;0,0;1.015,9;1.015,6;7,1;159,0;16,1;0,0;0,0
08/12/2024;1800;19,5;19,7;19,3;82,8;83,0;82,0;16,5;16,7;16,1;0,3;1.015,9;1.015,6;7,1;175,0;16,1;0,0;0,0
08/12/2024;1900;19,2;19,3;19,2;82,0;82,0;82,0;16,1;16,1;16,1;0,3;1.016,3;1.015,9;6,2;162,0;14,5;0,0;0,0
08/12/2024;2000;18,8;19,3;18,1;83,5;86,0;81,0;16,0;16,2;15,7;0,3;1.016,6;1.016,3;6,0;150,0;12,9;0,0;0,5
08/12/2024;2100;17,5;18,1;17,1;88,9;90,0;86,0;15,7;15,9;15,4;0,3;1.017,3;1.016,6;5,1;141,0;11,3;0,0;7,4
08/12/2024;2200;17,0;17,1;17,0;91,1;92,0;90,0;15,6;15,8;15,4;0,0;1.016,9;1.016,6;4,1;138,0;9,7;0,0;6,4
08/12/2024;2300;17,0;17,1;16,9;92,0;92,0;92,0;15,7;15,8;15,6;-0,7;1.016,9;1.016,3;3,9;140,0;9,7;0,0;5,1

